Reaction ID,P1,P2
1,1.5,
2,1.5,
3,1.5,
4,1.5,
5,2,
6,2,
7,1.5,
8,1.5,
9,1.5,
10,2,
11,1.5,
12,1.5,
13,1.5,
14,1.5,
15,1.5,
16,1.5,1.5
17,1.5,
18,1.5,
19,3,
20,1.5,
21,1.5,
22,1.5,
23,2,
24,2,
25,2,
26,2,
27,1.5,
28,1.5,
29,1.5,1.5
30,1.5,
31,1.5,
32,1.5,
33,1.5,
34,1.5,
35,3,
36,3,
37,3,
38,3,
39,3,
40,3,
41,2,
42,5,
43,5,
44,3,
45,2,
46,5,
47,5,
48,2.5,
49,4,
50,3,
51,5,
52,5,
53,3,
54,3,
55,3,
56,3,
57,4,
58,4,
59,5,
60,5,
61,5,
62,2,
63,5,
64,2,
65,4,
66,5,
67,2,
68,2,
69,2,
70,4,
71,4,
72,2.5,
73,3,
74,3,
75,3,
76,3,
77,3,
78,2,
79,3,
80,2,
81,2,
82,3,
83,4,
84,3,
85,4,
86,3,
87,4,
88,3,
89,3,3
90,2.5,
91,2.5,
92,2.5,
93,3,
94,4,
95,3,
96,3,
97,3,
98,3,
99,2.5,
100,2.5,
101,2.5,
102,4,4
103,5,
104,5,
105,3,
106,3,
107,3,
108,3,
109,3,
110,3,
111,3,
112,3,
113,3,
114,4,
115,4,
116,3,
117,3,
118,3,
119,3,
120,3,
121,3,
122,3,
123,3,
124,3,
125,3,
126,3,
127,3,
128,3,
129,3,
130,3,
131,3,
132,3,
133,3,
134,3,
135,3,
136,3,
137,3,
138,3,
139,3,
140,3,
141,3,
142,3,
143,3,
144,3,
145,3,3
146,3,
147,3,
148,3,
149,3,
150,3,
151,3,
152,3,
153,3,
154,3,
155,3,
156,3,
157,3,
158,3,
159,5,
160,2,
161,2,
162,2,
163,2,
164,3,
165,5,
166,3,
167,3,
168,3,
169,3,
170,3,
171,3,
172,3,
173,3,
174,3,
175,3,
176,2,
177,5,
178,5,
179,5,
180,3,
181,3,
182,3,
183,3,
184,3,
185,3,
186,3,
187,3,
188,3,
189,3,
190,3,
191,3,
192,3,
193,3,3
194,3,
195,3,
196,3,
197,3,
198,3,
199,3,3
200,3,3
201,3,
202,3,
203,3,
204,3,3
205,3,
206,3,
207,3,
208,3,
209,3,
210,3,
211,3,
212,3,
213,4,
214,4,
215,4,
216,4,
217,4,
218,4,
219,4,
220,5,
221,3,
222,3,
223,3,
224,3,
225,3,
226,3,
227,3,
228,3,
229,3,3
230,3,
231,3,
232,3,
233,3,
234,3,
235,3,
236,3,3
237,3,
238,3,
239,3,
240,3,
241,3,
242,3,
243,3,
244,3,
245,3,3
246,3,3
247,3,
248,3,
249,3,
250,3,
251,3,
252,3,
253,3,
254,3,
255,3,
256,3,
257,3,
258,3,
259,3,
260,3,
261,3,
262,3,
